Shaft Encoder(cm),Axial_Sig,Radial_Sig,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Sensor25,Sensor26,Sensor27,Sensor28,Sensor29,Sensor30,Sensor31,Sensor32
284.6962,1733.15,703.26,1031.25,1023.44,898.44,1007.81,992.19,1015.63,1023.44,976.56,1031.25,960.94,1054.69,1078.13,1960.94,1109.38,1992.19,992.19,1070.31,1062.5,1906.25,1031.25,960.94,960.94,960.94,976.56,968.75,984.38,984.38,882.81,929.69,984.38,984.38,976.56
284.8477,1732.73,699.57,1031.25,1023.44,898.44,1000,992.19,1015.63,1015.63,992.19,1039.06,945.31,1062.5,1085.94,1960.94,1109.38,1992.19,1000,1062.5,1062.5,1906.25,1031.25,953.13,960.94,953.13,968.75,968.75,984.38,976.56,882.81,929.69,976.56,976.56,968.75
284.9992,1730.2,695.27,1023.44,1023.44,906.25,1000,992.19,1007.81,1015.63,984.38,1039.06,953.13,1054.69,1078.13,1960.94,1117.19,1992.19,1000,1070.31,1054.69,1906.25,1023.44,960.94,953.13,960.94,976.56,968.75,984.38,992.19,882.81,929.69,976.56,984.38,968.75
285.1128,1730.43,692.86,1023.44,1031.25,906.25,1007.81,1000,1000,1031.25,984.38,1039.06,960.94,1054.69,1078.13,1960.94,1117.19,1992.19,992.19,1070.31,1070.31,1906.25,1023.44,953.13,953.13,968.75,968.75,968.75,984.38,976.56,890.63,921.88,976.56,984.38,976.56
285.2643,1735.12,692.12,1031.25,1031.25,906.25,1007.81,992.19,1023.44,1007.81,984.38,1031.25,960.94,1054.69,1078.13,1968.75,1117.19,1992.19,1000,1062.5,1062.5,1906.25,1031.25,960.94,960.94,960.94,976.56,968.75,984.38,992.19,882.81,921.88,984.38,984.38,976.56
285.4158,1732.15,692.38,1023.44,1031.25,898.44,1007.81,992.19,1015.63,1031.25,992.19,1031.25,953.13,1062.5,1078.13,1960.94,1125,1992.19,992.19,1062.5,1062.5,1789.06,1023.44,953.13,960.94,960.94,976.56,968.75,976.56,976.56,882.81,929.69,984.38,984.38,976.56
285.5294,1727.22,691.82,1031.25,1031.25,906.25,1007.81,992.19,1015.63,1023.44,976.56,1039.06,953.13,1054.69,1078.13,1953.13,1117.19,1992.19,1000,1070.31,1054.69,1906.25,1023.44,968.75,960.94,953.13,976.56,968.75,968.75,984.38,890.63,929.69,984.38,984.38,976.56
285.6809,1726.21,691.78,1031.25,1023.44,906.25,1000,992.19,1007.81,1023.44,984.38,1039.06,960.94,1062.5,1078.13,1960.94,1117.19,1992.19,992.19,1062.5,1054.69,1906.25,1023.44,968.75,960.94,960.94,976.56,960.94,976.56,976.56,890.63,929.69,984.38,984.38,968.75
285.7945,1725.08,692.55,1031.25,1031.25,906.25,1015.63,992.19,1000,1023.44,984.38,1039.06,953.13,1062.5,1078.13,1960.94,1117.19,1992.19,984.38,1070.31,1054.69,1906.25,1023.44,960.94,960.94,960.94,976.56,968.75,976.56,992.19,882.81,929.69,984.38,984.38,976.56
285.946,1726.5,693.22,1023.44,1023.44,906.25,1007.81,992.19,1015.63,1015.63,984.38,1039.06,945.31,1054.69,1085.94,1960.94,1125,1992.19,1000,1070.31,1062.5,1851.56,1031.25,968.75,960.94,960.94,968.75,968.75,976.56,976.56,882.81,929.69,984.38,984.38,976.56
